School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2022-2023,1751350,Special Ed AM Run,1386,N384,Heavy Traffic,"256,602,661",10/13/2022 06:29:00 AM,10/13/2022 06:31:00 AM,Bronx,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,Yes,10/13/2022 06:31:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1810806,Special Ed AM Run,1901,Q899,Heavy Traffic,"2,523,725,463",03/31/2023 07:44:00 AM,03/31/2023 07:46:00 AM,Queens,HOYT TRANSPORTATION CORP.,0-15 Min,3,Yes,Yes,No,03/31/2023 07:46:00 AM,,03/31/2023 08:02:31 AM,Running Late,School-Age
2022-2023,1741776,Special Ed AM Run,1130,N166,Heavy Traffic,"646,206,467",09/20/2022 06:00:00 AM,09/20/2022 06:01:00 AM,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,Yes,Yes,Yes,09/20/2022 06:01:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1473383,Special Ed AM Run,1812,L015,Heavy Traffic,"1,757,417,862",10/18/2018 07:43:00 AM,10/18/2018 07:44:00 AM,Brooklyn,B & F SKILLED INC.(B2192),0-15 Min,3,Yes,Yes,No,10/18/2018 07:44:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1657761,General Ed AM Run,9037,M8215,Heavy Traffic,"205,302,170,031,850,000,000,000",06/18/2021 08:45:00 AM,06/18/2021 08:49:00 AM,Manhattan,QUALITY TRANSPORTATION CORP.,46-60 Min,3,No,Yes,No,06/18/2021 08:49:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1590376,Special Ed AM Run,639,N268,Heavy Traffic,"145,001,616",10/23/2019 07:25:00 AM,10/23/2019 07:28:00 AM,Nassau County,HOYT TRANSPORTATION CORP.,16-30 Min,7,Yes,Yes,No,10/23/2019 07:28:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1668953,Special Ed AM Run,1135,X112,Mechanical Problem,"902,809,117,091,630,000,000,000",10/08/2021 06:40:00 AM,10/08/2021 06:41:00 AM,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,0,Yes,No,No,10/08/2021 06:41:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1606002,Special Ed AM Run,632,N267,Weather Conditions,"10,630,145,001,616",12/02/2019 07:35:00 AM,12/02/2019 07:44:00 AM,Nassau County,HOYT TRANSPORTATION CORP.,16-30 Min,7,Yes,Yes,No,12/02/2019 07:44:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1663738,Special Ed PM Run,9028,X128,Delayed by School,"929,409,311,093,290,000,000,000",09/20/2021 02:31:00 PM,09/20/2021 02:32:00 PM,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,4,Yes,No,No,09/20/2021 02:32:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1597439,Special Ed AM Run,1237,M626,Heavy Traffic,"301,503,334",11/08/2019 06:07:00 AM,11/08/2019 06:07:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,11/08/2019 06:07:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1788278,Special Ed AM Run,3076,Q174,Weather Conditions,"302,913,044,230,443",01/23/2023 06:30:00 AM,01/23/2023 06:33:00 AM,Queens,PRIDE TRANSPORTATION (SCH AGE),31-45 Min,0,Yes,Yes,No,01/23/2023 06:33:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1527565,Special Ed AM Run,17373,X860,Heavy Traffic,8101,03/08/2019 06:37:00 AM,03/08/2019 06:38:00 AM,Bronx,HOYT TRANSPORTATION CORP.,0-15 Min,0,Yes,Yes,No,03/08/2019 06:38:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1737229,General Ed AM Run,1121,R1221,Other,31734,09/08/2022 07:33:00 AM,09/08/2022 07:34:00 AM,Staten Island,PIONEER TRANSPORTATION CORP,46-60 Min,0,No,No,No,09/08/2022 07:34:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1638400,Special Ed AM Run,1662D,X781,Other,11455,10/20/2020 07:30:00 AM,10/20/2020 07:49:00 AM,Bronx,LITTLE LISA BUS CO. INC.,16-30 Min,1,Yes,No,No,10/20/2020 07:49:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1632459,Special Ed PM Run,1455,N227,Heavy Traffic,"11,880,140,001,616",02/28/2020 01:53:00 PM,02/28/2020 01:54:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,02/28/2020 01:54:00 PM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1582484,Special Ed AM Run,902,K262,Other,20012,10/03/2019 07:05:00 AM,10/03/2019 07:10:00 AM,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",31-45 Min,0,Yes,Yes,Yes,10/03/2019 07:10:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1531190,Pre-K/EI,2626,CK/GB5,Heavy Traffic,C868,03/18/2019 07:36:00 AM,03/18/2019 07:37:00 AM,Bronx,SELBY TRANSPORTATION,61-90 Min,2,Yes,Yes,No,03/18/2019 07:37:00 AM,,01/01/1900 12:00:00 AM,Running Late,Pre-K
